slot,t_s,ue_id,ue_x_m,ue_y_m,ue_z_m,sinr_db,spectral_eff_bphz,alloc_ru,arrival_bits,tx_bits,ack_bits,queue_bits,bler,success
19,0.019,3,-7.915573196592488,3.856880914676175,1.2,5.0,0.8,0,0,0,0,0,,
20,0.02,0,2.0140043816822586,4.765218879654348,1.2,5.0,0.8,0,0,0,0,0,,
20,0.02,1,4.402698405849513,-3.306819844404667,1.2,5.0,0.8,0,0,0,0,0,,
20,0.02,2,-3.2076349187389193,4.480334549602221,1.2,5.0,0.8,0,0,0,0,0,,
20,0.02,3,-7.9155641000745725,3.856987909380324,1.2,5.0,0.8,0,0,0,0,0,,
21,0.021,0,2.0145985205397627,4.765154749560036,1.2,5.0,0.8,0,0,0,0,0,,
21,0.021,1,4.402304470703152,-3.3072629931804656,1.2,5.0,0.8,0,0,0,0,0,,
21,0.021,2,-3.208125179563611,4.480224702213986,1.2,5.0,0.8,0,0,0,0,0,,
21,0.021,3,-7.915555003556657,3.857094904084473,1.2,5.0,0.8,0,0,0,0,0,,
22,0.022,0,2.015192659397267,4.765090619465724,1.2,5.0,0.8,0,0,0,0,0,,
22,0.022,1,4.401910535556791,-3.307706141956264,1.2,5.0,0.8,0,0,0,0,0,,
22,0.022,2,-3.2086154403883027,4.480114854825752,1.2,5.0,0.8,0,0,0,0,0,,
22,0.022,3,-7.915545907038741,3.857201898788622,1.2,5.0,0.8,0,0,0,0,0,,
23,0.023,0,2.015786798254771,4.765026489371412,1.2,5.0,0.8,0,0,0,0,0,,
23,0.023,1,4.40151660041043,-3.3081492907320627,1.2,5.0,0.8,0,0,0,0,0,,
23,0.023,2,-3.2091057012129944,4.4800050074375175,1.2,5.0,0.8,0,0,0,0,0,,
23,0.023,3,-7.915536810520825,3.857308893492771,1.2,5.0,0.8,0,0,0,0,0,,
24,0.024,0,2.016380937112275,4.764962359277099,1.2,5.0,0.8,0,0,0,0,0,,
24,0.024,1,4.401122665264069,-3.308592439507861,1.2,5.0,0.8,0,0,0,0,0,,
24,0.024,2,-3.209595962037686,4.479895160049283,1.2,5.0,0.8,0,0,0,0,0,,
24,0.024,3,-7.915527714002909,3.85741588819692,1.2,5.0,0.8,0,0,0,0,0,,
25,0.025,0,2.0169750759697793,4.764898229182787,1.2,5.0,0.8,0,0,0,0,0,,
25,0.025,1,4.400728730117708,-3.3090355882836597,1.2,5.0,0.8,0,0,0,0,0,,
25,0.025,2,-3.210086222862378,4.479785312661049,1.2,5.0,0.8,0,0,0,0,0,,
25,0.025,3,-7.915518617484993,3.857522882901069,1.2,5.0,0.8,0,0,0,0,0,,
26,0.026000000000000002,0,2.0175692148272835,4.764834099088475,1.2,5.0,0.8,0,0,0,0,0,,
26,0.026000000000000002,1,4.4003347949713465,-3.3094787370594583,1.2,5.0,0.8,0,0,0,0,0,,
26,0.026000000000000002,2,-3.2105764836870696,4.479675465272814,1.2,5.0,0.8,0,0,0,0,0,,
26,0.026000000000000002,3,-7.915509520967078,3.857629877605218,1.2,5.0,0.8,0,0,0,0,0,,
27,0.027,0,2.0181633536847876,4.7647699689941625,1.2,5.0,0.8,0,12000,0,0,12000,,
27,0.027,1,4.399940859824985,-3.309921885835257,1.2,5.0,0.8,100,12000,12000,12000,0,0.04742587317756678,True
27,0.027,2,-3.2110667445117613,4.47956561788458,1.2,5.0,0.8,0,0,0,0,0,,
27,0.027,3,-7.915500424449162,3.857736872309367,1.2,5.0,0.8,0,0,0,0,0,,
28,0.028,0,2.0187574925422918,4.76470583889985,1.2,5.0,0.8,100,0,12000,12000,0,0.04742587317756678,True
28,0.028,1,4.399546924678624,-3.3103650346110554,1.2,5.0,0.8,0,0,0,0,0,,
28,0.028,2,-3.211557005336453,4.479455770496346,1.2,5.0,0.8,0,0,0,0,0,,
28,0.028,3,-7.915491327931246,3.857843867013516,1.2,5.0,0.8,0,0,0,0,0,,
29,0.029,0,2.019351631399796,4.764641708805538,1.2,5.0,0.8,0,0,0,0,0,,
29,0.029,1,4.399152989532263,-3.310808183386854,1.2,5.0,0.8,0,0,0,0,0,,
29,0.029,2,-3.2120472661611448,4.479345923108111,1.2,5.0,0.8,0,0,0,0,0,,
29,0.029,3,-7.91548223141333,3.857950861717665,1.2,5.0,0.8,0,0,0,0,0,,
30,0.03,0,2.0199457702573,4.764577578711226,1.2,5.0,0.8,0,0,0,0,0,,
30,0.03,1,4.398759054385902,-3.3112513321626524,1.2,5.0,0.8,0,0,0,0,0,,
30,0.03,2,-3.2125375269858365,4.479236075719877,1.2,5.0,0.8,0,0,0,0,0,,
30,0.03,3,-7.915473134895414,3.858057856421814,1.2,5.0,0.8,0,0,0,0,0,,
31,0.031,0,2.020539909114804,4.764513448616913,1.2,5.0,0.8,0,0,0,0,0,,
31,0.031,1,4.398365119239541,-3.311694480938451,1.2,5.0,0.8,100,12000,12000,12000,0,0.04742587317756678,True
31,0.031,2,-3.2130277878105282,4.479126228331642,1.2,5.0,0.8,0,0,0,0,0,,
31,0.031,3,-7.915464038377499,3.858164851125963,1.2,5.0,0.8,0,0,0,0,0,,
32,0.032,0,2.0211340479723083,4.764449318522601,1.2,5.0,0.8,0,0,0,0,0,,
32,0.032,1,4.39797118409318,-3.3121376297142495,1.2,5.0,0.8,0,0,0,0,0,,
32,0.032,2,-3.21351804863522,4.479016380943408,1.2,5.0,0.8,0,0,0,0,0,,
32,0.032,3,-7.915454941859583,3.858271845830112,1.2,5.0,0.8,0,0,0,0,0,,
33,0.033,0,2.0217281868298125,4.764385188428289,1.2,5.0,0.8,0,0,0,0,0,,
33,0.033,1,4.397577248946819,-3.312580778490048,1.2,5.0,0.8,0,0,0,0,0,,
33,0.033,2,-3.2140083094599117,4.478906533555174,1.2,5.0,0.8,0,0,0,0,0,,
33,0.033,3,-7.915445845341667,3.858378840534261,1.2,5.0,0.8,0,0,0,0,0,,
34,0.034,0,2.0223223256873166,4.764321058333977,1.2,5.0,0.8,0,0,0,0,0,,
34,0.034,1,4.397183313800458,-3.3130239272658466,1.2,5.0,0.8,100,12000,12000,12000,0,0.04742587317756678,True
34,0.034,2,-3.2144985702846034,4.478796686166939,1.2,5.0,0.8,0,0,0,0,0,,
34,0.034,3,-7.915436748823751,3.85848583523841,1.2,5.0,0.8,0,0,0,0,0,,
35,0.035,0,2.0229164645448208,4.764256928239664,1.2,5.0,0.8,0,0,0,0,0,,
35,0.035,1,4.396789378654097,-3.313467076041645,1.2,5.0,0.8,0,0,0,0,0,,
35,0.035,2,-3.214988831109295,4.478686838778705,1.2,5.0,0.8,0,0,0,0,0,,
35,0.035,3,-7.915427652305835,3.858592829942559,1.2,5.0,0.8,0,0,0,0,0,,
36,0.036000000000000004,0,2.023510603402325,4.764192798145352,1.2,5.0,0.8,0,0,0,0,0,,
36,0.036000000000000004,1,4.3963954435077355,-3.3139102248174437,1.2,5.0,0.8,0,0,0,0,0,,
36,0.036000000000000004,2,-3.215479091933987,4.4785769913904705,1.2,5.0,0.8,0,0,0,0,0,,
36,0.036000000000000004,3,-7.9154185557879195,3.858699824646708,1.2,5.0,0.8,0,0,0,0,0,,
37,0.037,0,2.024104742259829,4.76412866805104,1.2,5.0,0.8,0,0,0,0,0,,
37,0.037,1,4.396001508361374,-3.3143533735932422,1.2,5.0,0.8,0,0,0,0,0,,
37,0.037,2,-3.2159693527586786,4.478467144002236,1.2,5.0,0.8,0,0,0,0,0,,
37,0.037,3,-7.915409459270004,3.858806819350857,1.2,5.0,0.8,0,0,0,0,0,,
38,0.038,0,2.024698881117333,4.7640645379567275,1.2,5.0,0.8,0,0,0,0,0,,
38,0.038,1,4.395607573215013,-3.3147965223690408,1.2,5.0,0.8,0,0,0,0,0,,
38,0.038,2,-3.2164596135833703,4.478357296614002,1.2,5.0,0.8,0,0,0,0,0,,
38,0.038,3,-7.915400362752088,3.858913814055006,1.2,5.0,0.8,0,0,0,0,0,,
39,0.039,0,2.0252930199748373,4.764000407862415,1.2,5.0,0.8,0,0,0,0,0,,
39,0.039,1,4.395213638068652,-3.3152396711448393,1.2,5.0,0.8,0,0,0,0,0,,
39,0.039,2,-3.216949874408062,4.478247449225767,1.2,5.0,0.8,0,0,0,0,0,,
39,0.039,3,-7.915391266234172,3.859020808759155,1.2,5.0,0.8,0,0,0,0,0,,
40,0.04,0,2.0258871588323415,4.763936277768103,1.2,5.0,0.8,0,0,0,0,0,,
40,0.04,1,4.394819702922291,-3.315682819920638,1.2,5.0,0.8,0,0,0,0,0,,
40,0.04,2,-3.2174401352327537,4.478137601837533,1.2,5.0,0.8,0,0,0,0,0,,
40,0.04,3,-7.915382169716256,3.859127803463304,1.2,5.0,0.8,0,0,0,0,0,,
41,0.041,0,2.0264812976898456,4.763872147673791,1.2,5.0,0.8,0,0,0,0,0,,
41,0.041,1,4.39442576777593,-3.3161259686964364,1.2,5.0,0.8,0,0,0,0,0,,
41,0.041,2,-3.2179303960574455,4.478027754449299,1.2,5.0,0.8,0,0,0,0,0,,
41,0.041,3,-7.9153730731983405,3.859234798167453,1.2,5.0,0.8,0,0,0,0,0,,
42,0.042,0,2.02707543654735,4.763808017579478,1.2,5.0,0.8,0,0,0,0,0,,
42,0.042,1,4.394031832629569,-3.316569117472235,1.2,5.0,0.8,0,0,0,0,0,,
42,0.042,2,-3.218420656882137,4.477917907061064,1.2,5.0,0.8,0,0,0,0,0,,
42,0.042,3,-7.915363976680425,3.859341792871602,1.2,5.0,0.8,0,0,0,0,0,,
43,0.043000000000000003,0,2.027669575404854,4.763743887485166,1.2,5.0,0.8,0,0,0,0,0,,
43,0.043000000000000003,1,4.393637897483208,-3.3170122662480335,1.2,5.0,0.8,100,12000,12000,12000,0,0.04742587317756678,True
43,0.043000000000000003,2,-3.218910917706829,4.47780805967283,1.2,5.0,0.8,0,0,0,0,0,,
43,0.043000000000000003,3,-7.915354880162509,3.859448787575751,1.2,5.0,0.8,0,0,0,0,0,,
44,0.044,0,2.028263714262358,4.763679757390854,1.2,5.0,0.8,0,0,0,0,0,,
44,0.044,1,4.393243962336847,-3.317455415023832,1.2,5.0,0.8,0,0,0,0,0,,
44,0.044,2,-3.2194011785315206,4.477698212284595,1.2,5.0,0.8,0,0,0,0,0,,
44,0.044,3,-7.915345783644593,3.8595557822799,1.2,5.0,0.8,0,0,0,0,0,,
45,0.045,0,2.028857853119862,4.7636156272965415,1.2,5.0,0.8,0,0,0,0,0,,
45,0.045,1,4.392850027190486,-3.3178985637996306,1.2,5.0,0.8,0,0,0,0,0,,
45,0.045,2,-3.2198914393562124,4.477588364896361,1.2,5.0,0.8,0,0,0,0,0,,
45,0.045,3,-7.915336687126677,3.859662776984049,1.2,5.0,0.8,0,0,0,0,0,,
46,0.046,0,2.0294519919773664,4.763551497202229,1.2,5.0,0.8,0,0,0,0,0,,
46,0.046,1,4.3924560920441245,-3.318341712575429,1.2,5.0,0.8,0,0,0,0,0,,
46,0.046,2,-3.220381700180904,4.477478517508127,1.2,5.0,0.8,0,0,0,0,0,,
46,0.046,3,-7.9153275906087615,3.859769771688198,1.2,5.0,0.8,0,0,0,0,0,,
47,0.047,0,2.0300461308348705,4.763487367107917,1.2,5.0,0.8,0,0,0,0,0,,
47,0.047,1,4.392062156897763,-3.3187848613512276,1.2,5.0,0.8,0,0,0,0,0,,
47,0.047,2,-3.220871961005596,4.477368670119892,1.2,5.0,0.8,0,0,0,0,0,,
47,0.047,3,-7.915318494090846,3.859876766392347,1.2,5.0,0.8,0,0,0,0,0,,
48,0.048,0,2.0306402696923747,4.763423237013605,1.2,5.0,0.8,0,0,0,0,0,,
48,0.048,1,4.391668221751402,-3.319228010127026,1.2,5.0,0.8,0,0,0,0,0,,
48,0.048,2,-3.2213622218302875,4.477258822731658,1.2,5.0,0.8,0,0,0,0,0,,
48,0.048,3,-7.91530939757293,3.8599837610964958,1.2,5.0,0.8,0,0,0,0,0,,
49,0.049,0,2.031234408549879,4.763359106919292,1.2,5.0,0.8,0,0,0,0,0,,
49,0.049,1,4.391274286605041,-3.3196711589028247,1.2,5.0,0.8,0,0,0,0,0,,
49,0.049,2,-3.2218524826549793,4.4771489753434235,1.2,5.0,0.8,0,0,0,0,0,,
